Graph ID,Vertices,Edges,Prim Cost,Prim Time (ms),Prim Ops,Kruskal Cost,Kruskal Time (ms),Kruskal Ops
1,4,3,6,0.0107,3,6,0.0168,5
2,5,4,14,0.0228,4,14,0.0163,5
3,5,4,14,0.0127,4,14,0.0107,6
4,4,3,45,0.0086,3,45,0.0251,4
5,5,4,4,0.0105,4,4,0.0090,5
6,10,9,42,0.0194,10,42,0.0195,10
7,11,10,40,0.0242,10,40,0.0167,10
8,9,8,41,0.0177,8,41,0.0227,9
9,10,9,51,0.0179,9,51,0.0142,9
10,15,14,74,0.0283,14,74,0.0238,14
11,20,19,75,0.0788,22,75,0.0478,29
12,22,21,88,0.0947,23,88,0.0457,28
13,25,24,105,0.0832,27,105,0.0998,32
14,20,19,76,0.0794,19,76,0.0493,28
15,30,29,128,0.1052,29,128,0.0802,39
